127.0.0.1 - - [26/Oct/2020:18:25:01 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Oct/2020:18:25:02 +0900] "GET /DJG/index.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [26/Oct/2020:18:25:03 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [26/Oct/2020:18:25:03 +0900] "GET /DJG/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [26/Oct/2020:18:25:03 +0900] "GET /DJG/images/3.jpg HTTP/1.1" 200 777980
0:0:0:0:0:0:0:1 - - [26/Oct/2020:18:25:03 +0900] "GET /DJG/images/4.jpg HTTP/1.1" 200 153388
0:0:0:0:0:0:0:1 - - [26/Oct/2020:18:25:03 +0900] "GET /DJG/css/custom.css HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [26/Oct/2020:18:25:03 +0900] "GET /DJG/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [26/Oct/2020:18:25:03 +0900] "GET /DJG/images/5.jpg HTTP/1.1" 200 146325
0:0:0:0:0:0:0:1 - - [26/Oct/2020:18:25:03 +0900] "GET /DJG/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [26/Oct/2020:18:33:04 +0900] "GET /DJG/join.jsp HTTP/1.1" 200 7619
0:0:0:0:0:0:0:1 - - [26/Oct/2020:18:33:31 +0900] "GET /DJG/login.jsp HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [26/Oct/2020:18:33:37 +0900] "GET /DJG/join.jsp HTTP/1.1" 200 7619
0:0:0:0:0:0:0:1 - - [26/Oct/2020:18:34:08 +0900] "POST /DJG/joinAction.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [26/Oct/2020:18:34:08 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3327
0:0:0:0:0:0:0:1 - - [26/Oct/2020:18:34:13 +0900] "GET /DJG/djg.jsp HTTP/1.1" 200 3409
0:0:0:0:0:0:0:1 - - [26/Oct/2020:18:36:52 +0900] "GET /DJG/logoutAction.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [26/Oct/2020:18:36:52 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [26/Oct/2020:18:36:53 +0900] "GET /DJG/djg.jsp HTTP/1.1" 500 2353
