127.0.0.1 - - [20/Jan/2022:23:24:09 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:24:10 +0900] "GET /DJG/index.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:24:11 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3266
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:24:11 +0900] "GET /DJG/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:24:11 +0900] "GET /DJG/css/custom.css HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:24:11 +0900] "GET /DJG/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:24:11 +0900] "GET /DJG/images/3.jpg HTTP/1.1" 200 777980
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:24:11 +0900] "GET /DJG/images/4.jpg HTTP/1.1" 200 153388
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:24:11 +0900] "GET /DJG/images/5.jpg HTTP/1.1" 200 146325
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:24:11 +0900] "GET /DJG/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:25:05 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:32:36 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3266
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:32:39 +0900] "GET /DJG/login.jsp HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:32:44 +0900] "POST /DJG/loginAction.jsp HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:32:48 +0900] "POST /DJG/loginAction.jsp HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:32:54 +0900] "GET /DJG/join.jsp HTTP/1.1" 200 13744
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:34:47 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:34:49 +0900] "GET /DJG/write.jsp HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:34:53 +0900] "GET /DJG/join.jsp HTTP/1.1" 200 13744
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:38:26 +0900] "GET /DJG/join.jsp HTTP/1.1" 200 13744
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:38:28 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3266
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:38:30 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:38:36 +0900] "GET /DJG/login.jsp HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:38:39 +0900] "POST /DJG/loginAction.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:38:39 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3395
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:38:41 +0900] "GET /DJG/djg.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:39:11 +0900] "GET /DJG/djg.jsp HTTP/1.1" 200 3432
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:39:11 +0900] "GET /DJG/djg.jsp HTTP/1.1" 200 3432
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:39:12 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3395
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:39:14 +0900] "GET /DJG/logoutAction.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:39:14 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3266
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:39:15 +0900] "GET /DJG/join.jsp HTTP/1.1" 200 13744
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:49:02 +0900] "GET /DJG/join.jsp HTTP/1.1" 200 13701
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:49:21 +0900] "POST /DJG/joinAction.jsp HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:49:23 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3395
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:50:31 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3395
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:50:32 +0900] "GET /DJG/logoutAction.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:50:32 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3266
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:50:33 +0900] "GET /DJG/join.jsp HTTP/1.1" 200 13777
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:50:53 +0900] "POST /DJG/joinAction.jsp HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:50:54 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3395
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:50:58 +0900] "GET /DJG/board.jsp HTTP/1.1" 200 2818
