127.0.0.1 - - [15/Feb/2022:00:31:07 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [15/Feb/2022:00:31:08 +0900] "GET /DJG/index.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [15/Feb/2022:00:31:08 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3285
0:0:0:0:0:0:0:1 - - [15/Feb/2022:00:31:08 +0900] "GET /DJG/images/school1.jpeg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [15/Feb/2022:00:31:08 +0900] "GET /DJG/images/school2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:00:31:08 +0900] "GET /DJG/images/school3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:00:31:31 +0900] "GET /DJG/main.jsp HTTP/1.1" 200 3285
0:0:0:0:0:0:0:1 - - [15/Feb/2022:00:31:31 +0900] "GET /DJG/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:00:31:31 +0900] "GET /DJG/images/school3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:00:31:31 +0900] "GET /DJG/images/school2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:00:31:31 +0900] "GET /DJG/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:00:31:31 +0900] "GET /DJG/images/school1.jpeg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [15/Feb/2022:00:33:28 +0900] "GET /DJG/djg.jsp HTTP/1.1" 500 90
0:0:0:0:0:0:0:1 - - [15/Feb/2022:00:33:30 +0900] "GET /DJG/login.jsp HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [15/Feb/2022:00:33:32 +0900] "GET /DJG/login.jsp HTTP/1.1" 200 2588
